국가별,소비자물가지수,소비자물가지수,소비자물가지수,소비자물가지수,소비자물가지수,소비자물가지수,소비자물가지수,소비자물가지수,소비자물가지수,소비자물가지수,소비자물가지수,소비자물가지수,소비자물가지수,소비자물가지수,소비자물가지수,소비자물가지수,소비자물가지수,소비자물가지수,소비자물가지수,소비자물가지수,소비자물가지수,소비자물가지수,소비자물가지수,소비자물가지수,소비자물가지수,소비자물가지수
국가별,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
대한민국,54.8,57.5,60.1,64.6,65.1,66.6,69.3,71.2,73.7,76.3,78.4,80.2,82.2,86.1,88.5,91.1,94.7,96.8,98,99.3,100,101,102.9,104.5,104.9,105.4
아프가니스탄,,,,,,,,,,63.5,71.6,76.4,83.1,105,97.9,100,111.8,119,127.8,133.8,132.9,138.7,145.6,146.5,149.9,
아르메니아,44.3,52.6,59.9,65.1,65.5,65,67,67.8,71,75.9,76.4,78.6,82.1,89.4,92.4,100,107.7,110.4,116.8,120.3,124.8,123,124.2,127.3,129.2,130.7
아제르바이잔,42.6,51,52.9,52.5,48,48.9,49.6,51,52.1,55.6,61,66.1,77.1,93.2,94.6,100,107.9,109,111.6,113.2,117.7,132.4,149.5,152.9,156.9,161.2
바레인,83.8,83.4,85.4,85.1,84,83.4,82.4,82,83.3,85.3,87.5,89.3,92.2,95.4,98.1,100,99.6,102.3,105.7,108.5,110.5,113.6,115.2,117.6,118.8,116
방글라데시,42.5,43.5,45.9,49.7,52.7,53.9,55,56.8,60,64.6,69.2,73.8,80.6,87.7,92.5,100,111.4,118.3,127.2,136.1,144.6,152.5,161.2,170.2,179.7,189.9
부탄,56.7,61.6,65.7,72.6,77.5,80.6,83.4,85.4,86.8,71.1,74.8,78.6,82.6,89.5,93.4,100,108.8,120.7,129.2,139.9,146.2,151,158.4,162.7,167.2,176.6
브루나이,90.9,92.7,94.3,93.9,93.5,95,95.5,93.3,93.6,94.4,95.5,95.7,96.6,98.6,99.6,100,100.1,100.2,100.6,100.4,99.9,99.7,98.4,99.4,99,100.9
캄보디아,43.1,46.2,49.8,57.2,59.5,59,58.7,60.6,61.3,63.7,67.8,71.9,77.4,96.8,96.2,100,105.5,108.6,111.8,116.1,117.5,121.1,124.6,127.6,,
중국,64.5,69.8,71.8,71.2,70.2,70.5,71,70.4,71.2,74,75.3,76.5,80.2,85,84.3,87,91.8,94.3,96.7,98.6,100,102,103.6,105.8,108.8,111.5
키프로스,67.1,69.1,71.6,73.2,74.4,77.5,79,81.3,84.6,86.6,88.8,90.8,93,97.3,97.6,100,103.3,105.8,105.3,103.9,101.7,100.3,100.8,102.3,102.5,101.9
동티모르,,,,,,,,66.5,71.3,73.6,74.4,77.3,85.3,93,93.7,100,113.5,126.9,140.8,142,142.9,140.8,141.6,144.8,146.2,
조지아,28.6,39.9,42.7,44.3,52.8,54.9,57.5,60.7,61.2,64.6,70,76.4,83.4,91.8,93.4,100,108.5,107.5,107,110.3,114.7,117.1,124.2,127.4,133.6,140.6
홍콩,89.7,95.3,100.8,103.7,99.6,95.9,94.3,91.5,89,88.8,89.5,91.3,93.2,97.2,97.8,100,105.3,109.6,114.3,119.4,123,125.9,127.8,130.9,134.6,135
인도,37.7,41.1,44.1,49.9,52.2,54.3,56.4,58.8,61.1,63.4,66,69.9,74.3,80.5,89.3,100,108.9,119,132.2,140.9,147.9,155.2,160.3,166.7,172.9,184.3
인도네시아,19.4,20.9,22.2,35.2,42.5,44,49.1,54.9,58.6,62.2,68.7,77.7,82.7,91.1,95.1,100,105.4,109.9,116.9,124.4,132.3,137,142.2,146.7,151.2,154.1
